time/episodes,train/critic_loss,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/success_rate
4,0.07681307941675186,-1.4801030158996582,-0.30063414573669434,3,0.9140493273735046,-100.0,109,400,299,100.0,0.0003,0.0
8,0.06359469890594482,-1.4095052480697632,-0.7057437896728516,8,0.8106306791305542,-100.0,96,800,699,100.0,0.0003,0.0
12,0.04769378900527954,-1.340086817741394,-1.1039490699768066,13,0.7189468145370483,-100.0,86,1200,1099,100.0,0.0003,0.0
16,0.05967020243406296,-1.0512827634811401,-1.501784086227417,19,0.637656033039093,-100.0,84,1600,1499,100.0,0.0003,0.0
20,0.06033594161272049,-0.546191394329071,-1.9011365175247192,23,0.5656513571739197,-100.0,84,2000,1899,100.0,0.0003,0.0
24,0.05417141318321228,0.14232119917869568,-2.2731688022613525,28,0.501923143863678,-100.0,83,2400,2299,100.0,0.0003,0.0
28,0.06038579344749451,0.911410391330719,-2.675975799560547,33,0.44554784893989563,-100.0,83,2800,2699,100.0,0.0003,0.0
32,0.07080355286598206,1.5772285461425781,-2.9732255935668945,37,0.4034469425678253,-97.9375,83,3135,3034,97.96875,0.0003,0.03125
36,0.06634596735239029,2.259824514389038,-3.1981115341186523,41,0.36787232756614685,-95.75,83,3449,3348,95.80555555555556,0.0003,0.05555555555555555
40,0.058430105447769165,3.1885876655578613,-3.476006269454956,46,0.3322102129459381,-94.925,82,3800,3699,95.0,0.0003,0.075
44,0.05360063165426254,3.83716082572937,-3.6548991203308105,50,0.3006066679954529,-94.18181818181819,81,4148,4047,94.27272727272727,0.0003,0.09090909090909091
48,0.07278022170066833,4.6869611740112305,-3.7653770446777344,55,0.268414705991745,-94.66666666666667,81,4548,4447,94.75,0.0003,0.08333333333333333
52,0.06370220333337784,5.86234188079834,-3.843885660171509,60,0.24114738404750824,-94.73076923076923,81,4931,4830,94.82692307692308,0.0003,0.09615384615384616
56,0.07848940789699554,6.714593887329102,-4.137057304382324,64,0.2173251211643219,-94.625,81,5305,5204,94.73214285714286,0.0003,0.10714285714285714
60,0.06685434281826019,7.616401672363281,-4.304893493652344,68,0.19985729455947876,-93.35,81,5608,5507,93.46666666666667,0.0003,0.11666666666666667
64,0.0698355883359909,8.832499504089355,-4.363974571228027,73,0.1794470101594925,-93.765625,81,6008,5907,93.875,0.0003,0.109375
68,0.08848030865192413,9.638346672058105,-4.267611503601074,77,0.16404786705970764,-93.19117647058823,81,6345,6244,93.30882352941177,0.0003,0.11764705882352941
72,0.29639819264411926,10.613956451416016,-4.21169376373291,82,0.14775404334068298,-93.56944444444444,81,6745,6644,93.68055555555556,0.0003,0.1111111111111111
76,0.2981155514717102,11.699830055236816,-4.277060031890869,86,0.13539990782737732,-93.10526315789474,81,7085,6984,93.22368421052632,0.0003,0.11842105263157894
80,0.13630470633506775,12.497209548950195,-4.336920261383057,90,0.12484827637672424,-92.4625,81,7408,7307,92.6,0.0003,0.1375
84,0.13090790808200836,13.163612365722656,-3.789186716079712,94,0.11566489934921265,-91.72619047619048,81,7718,7617,91.88095238095238,0.0003,0.15476190476190477
88,0.6455178260803223,13.708745956420898,-3.6359381675720215,97,0.10923845320940018,-90.23863636363636,81,7956,7855,90.4090909090909,0.0003,0.17045454545454544
92,0.9399827718734741,14.749198913574219,-3.5754706859588623,101,0.10114521533250809,-89.91304347826087,81,8288,8187,90.08695652173913,0.0003,0.17391304347826086
96,0.1850779801607132,15.227140426635742,-3.240858793258667,104,0.09586399793624878,-88.63541666666667,81,8528,8427,88.83333333333333,0.0003,0.19791666666666666
100,0.23440855741500854,15.9110689163208,-3.1284615993499756,107,0.09016814827919006,-87.81,81,8802,8701,88.02,0.0003,0.21
104,2.125288486480713,16.763954162597656,-2.9736320972442627,112,0.08328554034233093,-87.7,81,9192,9091,87.92,0.0003,0.22
108,0.1678343415260315,16.79375457763672,-2.258341073989868,113,0.0815703496336937,-84.75,81,9301,9200,85.01,0.0003,0.26
112,2.3348162174224854,17.36545181274414,-1.7827067375183105,117,0.07719401270151138,-83.76,81,9603,9502,84.03,0.0003,0.27
116,0.29994168877601624,18.3048038482666,-1.5073202848434448,121,0.07386281341314316,-82.77,81,9905,9804,83.05,0.0003,0.28
120,1.4929206371307373,18.045446395874023,-0.6339339017868042,125,0.07133203744888306,-81.82,81,10211,10110,82.11,0.0003,0.29
124,0.8219351768493652,17.836528778076172,-0.32003313302993774,130,0.06945741176605225,-81.82,81,10611,10510,82.11,0.0003,0.29
128,0.3120446503162384,18.551326751708984,0.07094331085681915,135,0.06866656988859177,-81.82,81,11011,10910,82.11,0.0003,0.29
132,0.5375714898109436,18.57817268371582,0.3038555979728699,138,0.06865391135215759,-81.22,81,11287,11186,81.52,0.0003,0.3
136,0.6738543510437012,18.818389892578125,-0.29202204942703247,141,0.06883212178945541,-80.75,81,11555,11454,81.06,0.0003,0.31
140,0.8135528564453125,19.11406135559082,0.11053916811943054,144,0.06930933892726898,-79.45,81,11777,11676,79.77,0.0003,0.32
144,0.7631202340126038,18.966947555541992,0.18596552312374115,148,0.07038877159357071,-79.2,81,12100,11999,79.52,0.0003,0.32
148,0.5165094137191772,20.133039474487305,0.20003041625022888,151,0.07106851041316986,-77.03,81,12286,12185,77.38,0.0003,0.35
152,0.517008900642395,19.258220672607422,-0.10123506188392639,152,0.07166371494531631,-74.4,81,12408,12307,74.77,0.0003,0.37
156,0.5105899572372437,19.702991485595703,0.14650258421897888,154,0.0721752718091011,-72.13,81,12557,12456,72.52,0.0003,0.39
160,0.6957511901855469,19.953399658203125,0.34694263339042664,156,0.07327740639448166,-70.81,81,12730,12629,71.22,0.0003,0.41
164,0.9713001847267151,19.186935424804688,0.21124407649040222,159,0.07550828903913498,-68.97,81,12948,12847,69.4,0.0003,0.43
168,1.1574268341064453,20.422590255737305,0.005844324827194214,163,0.07820923626422882,-68.79,80,13268,13167,69.23,0.0003,0.44
172,1.2297821044921875,19.8181209564209,-0.016600459814071655,166,0.07961371541023254,-66.98,80,13489,13388,67.44,0.0003,0.46
176,3.6426241397857666,19.510379791259766,0.49906471371650696,170,0.08144017308950424,-66.61,80,13792,13691,67.07,0.0003,0.46
180,1.9105582237243652,20.24404525756836,-0.47734540700912476,173,0.08277147263288498,-65.49,80,14003,13902,65.95,0.0003,0.46
184,0.6458353400230408,20.451339721679688,0.5177625417709351,174,0.08318480849266052,-63.74,80,14139,14038,64.21,0.0003,0.47
